id,name,state,url
B000944,Sen. Sherrod Brown,OH,http://www.brown.senate.gov
C000127,Sen. Maria Cantwell,WA,http://www.cantwell.senate.gov
C000141,Sen. Benjamin Cardin,MD,https://www.cardin.senate.gov
C000174,Sen. Thomas Carper,DE,http://www.carper.senate.gov
C001070,Sen. Robert Casey,PA,https://www.casey.senate.gov
C001071,Sen. Bob Corker,TN,http://www.corker.senate.gov
F000062,Sen. Dianne Feinstein,CA,http://www.feinstein.senate.gov
H000338,Sen. Orrin Hatch,UT,http://www.hatch.senate.gov
K000367,Sen. Amy Klobuchar,MN,http://www.klobuchar.senate.gov
M001170,Sen. Claire McCaskill,MO,http://www.mccaskill.senate.gov
M000639,Sen. Robert Menéndez,NJ,http://www.menendez.senate.gov
N000032,Sen. Bill Nelson,FL,https://www.billnelson.senate.gov
S000033,Sen. Bernard Sanders,VT,http://www.sanders.senate.gov
S000770,Sen. Debbie Stabenow,MI,http://www.stabenow.senate.gov
T000464,Sen. Jon Tester,MT,http://www.tester.senate.gov
W000802,Sen. Sheldon Whitehouse,RI,http://www.whitehouse.senate.gov
B001261,Sen. John Barrasso,WY,http://www.barrasso.senate.gov
W000437,Sen. Roger Wicker,MS,http://www.wicker.senate.gov
A000360,Sen. Lamar Alexander,TN,http://www.alexander.senate.gov
C000567,Sen. Thad Cochran,MS,http://www.cochran.senate.gov
C001035,Sen. Susan Collins,ME,https://www.collins.senate.gov
C001056,Sen. John Cornyn,TX,https://www.cornyn.senate.gov
D000563,Sen. Richard Durbin,IL,http://www.durbin.senate.gov
E000285,Sen. Michael Enzi,WY,http://www.enzi.senate.gov
G000359,Sen. Lindsey Graham,SC,http://www.lgraham.senate.gov
I000024,Sen. James Inhofe,OK,http://www.inhofe.senate.gov
M000355,Sen. Mitch McConnell,KY,http://www.mcconnell.senate.gov
M001176,Sen. Jeff Merkley,OR,https://www.merkley.senate.gov
R000122,Sen. John Reed,RI,http://www.reed.senate.gov
R000584,Sen. James Risch,ID,http://www.risch.senate.gov
R000307,Sen. Pat Roberts,KS,http://www.roberts.senate.gov
S001141,Sen. Jefferson Sessions,AL,http://www.sessions.senate.gov
S001181,Sen. Jeanne Shaheen,NH,http://www.shaheen.senate.gov
U000039,Sen. Tom Udall,NM,http://www.tomudall.senate.gov
W000805,Sen. Mark Warner,VA,http://www.warner.senate.gov
G000555,Sen. Kirsten Gillibrand,NY,http://www.gillibrand.senate.gov
F000457,Sen. Alan Franken,MN,https://www.franken.senate.gov
C001088,Sen. Chris Coons,DE,https://www.coons.senate.gov
M001183,Sen. Joe Manchin,WV,http://www.manchin.senate.gov
A000055,Rep. Robert Aderholt,AL,https://aderholt.house.gov
A000367,Rep. Justin Amash,MI,http://amash.house.gov
A000368,Sen. Kelly Ayotte,NH,http://www.ayotte.senate.gov
B001230,Sen. Tammy Baldwin,WI,http://www.baldwin.senate.gov
B001269,Rep. Lou Barletta,PA,http://barletta.house.gov
B000213,Rep. Joe Barton,TX,http://joebarton.house.gov
B001270,Rep. Karen Bass,CA,http://bass.house.gov
B000287,Rep. Xavier Becerra,CA,http://becerra.house.gov
B001271,Rep. Dan Benishek,MI,http://benishek.house.gov
B001267,Sen. Michael Bennet,CO,https://www.bennet.senate.gov
B001257,Rep. Gus Bilirakis,FL,https://bilirakis.house.gov
B001250,Rep. Rob Bishop,UT,http://robbishop.house.gov
B000490,Rep. Sanford Bishop,GA,http://bishop.house.gov
B001273,Rep. Diane Black,TN,http://black.house.gov
B001243,Rep. Marsha Blackburn,TN,http://blackburn.house.gov
B000574,Rep. Earl Blumenauer,OR,http://blumenauer.house.gov
B001277,Sen. Richard Blumenthal,CT,http://www.blumenthal.senate.gov
B000575,Sen. Roy Blunt,MO,http://www.blunt.senate.gov
B001236,Sen. John Boozman,AR,http://www.boozman.senate.gov
B001245,Rep. Madeleine Bordallo,GU,http://bordallo.house.gov
B001255,Rep. Charles Boustany,LA,http://boustany.house.gov
B000711,Sen. Barbara Boxer,CA,https://www.boxer.senate.gov
B000755,Rep. Kevin Brady,TX,http://kevinbrady.house.gov
B001227,Rep. Robert Brady,PA,http://brady.house.gov
B001274,Rep. Mo Brooks,AL,http://brooks.house.gov
B000911,Rep. Corrine Brown,FL,https://corrinebrown.house.gov
B001260,Rep. Vern Buchanan,FL,https://buchanan.house.gov
B001275,Rep. Larry Bucshon,IN,http://bucshon.house.gov
B001248,Rep. Michael Burgess,TX,http://burgess.house.gov
B001135,Sen. Richard Burr,NC,http://www.burr.senate.gov
B001251,Rep. George Butterfield,NC,http://butterfield.house.gov
C000059,Rep. Ken Calvert,CA,http://calvert.house.gov
C001047,Sen. Shelley Capito,WV,https://www.capito.senate.gov
C001036,Rep. Lois Capps,CA,http://capps.house.gov
C001037,Rep. Michael Capuano,MA,http://capuano.house.gov
C001083,Rep. John Carney,DE,http://johncarney.house.gov
C001072,Rep. André Carson,IN,http://carson.house.gov
C001051,Rep. John Carter,TX,http://carter.house.gov
C001075,Sen. Bill Cassidy,LA,http://www.cassidy.senate.gov
C001066,Rep. Kathy Castor,FL,http://castor.house.gov
C000266,Rep. Steve Chabot,OH,http://chabot.house.gov
C001076,Rep. Jason Chaffetz,UT,http://chaffetz.house.gov
C001080,Rep. Judy Chu,CA,http://chu.house.gov
C001084,Rep. David Cicilline,RI,http://cicilline.house.gov
C001067,Rep. Yvette Clarke,NY,http://clarke.house.gov
C001049,Rep. Wm. Clay,MO,http://lacyclay.house.gov
C001061,Rep. Emanuel Cleaver,MO,http://cleaver.house.gov
C000537,Rep. James Clyburn,SC,http://clyburn.house.gov
C000542,Sen. Daniel Coats,IN,http://www.coats.senate.gov
C001077,Rep. Mike Coffman,CO,http://coffman.house.gov
C001068,Rep. Steve Cohen,TN,http://cohen.house.gov
C001053,Rep. Tom Cole,OK,http://cole.house.gov
C001062,Rep. K. Conaway,TX,http://conaway.house.gov
C001078,Rep. Gerald Connolly,VA,http://connolly.house.gov
C000714,Rep. John Conyers,MI,https://conyers.house.gov
C000754,Rep. Jim Cooper,TN,http://cooper.house.gov
C001059,Rep. Jim Costa,CA,https://costa.house.gov
C001069,Rep. Joe Courtney,CT,http://courtney.house.gov
C000880,Sen. Michael Crapo,ID,http://www.crapo.senate.gov
C001087,Rep. Eric Crawford,AR,http://crawford.house.gov
C001045,Rep. Ander Crenshaw,FL,https://crenshaw.house.gov
C001038,Rep. Joseph Crowley,NY,http://crowley.house.gov
C001063,Rep. Henry Cuellar,TX,http://cuellar.house.gov
C001048,Rep. John Culberson,TX,http://culberson.house.gov
C000984,Rep. Elijah Cummings,MD,http://cummings.house.gov
D000096,Rep. Danny Davis,IL,http://davis.house.gov
D000598,Rep. Susan Davis,CA,http://susandavis.house.gov
D000191,Rep. Peter DeFazio,OR,http://defazio.house.gov
D000197,Rep. Diana DeGette,CO,http://degette.house.gov
D000216,Rep. Rosa DeLauro,CT,http://delauro.house.gov
D000612,Rep. Jeff Denham,CA,http://denham.house.gov
D000604,Rep. Charles Dent,PA,https://dent.house.gov
D000616,Rep. Scott DesJarlais,TN,https://desjarlais.house.gov
D000610,Rep. Theodore Deutch,FL,http://teddeutch.house.gov
D000600,Rep. Mario Diaz-Balart,FL,http://mariodiazbalart.house.gov
D000399,Rep. Lloyd Doggett,TX,http://doggett.house.gov
D000607,Sen. Joe Donnelly,IN,http://www.donnelly.senate.gov
D000482,Rep. Michael Doyle,PA,http://doyle.house.gov
D000614,Rep. Sean Duffy,WI,https://duffy.house.gov
